,0
11541,Carole Wilkinson
19000,Carolee Dean
4875,Carolien Metaal
22527,Carolin Liepins
15070,Carolin Wahl
19120,Carolina Andújar
4120,Carolina Lehman
6390,Carolina Martinez
364,Carolina Selvatici
7850,Caroline   Roberts
27639,Caroline  Scott
19597,Caroline  Webb
889,Caroline Alexander
5654,Caroline Anderson
1732,Caroline B. Cooney
24255,Caroline B. Glick
1820,Caroline Carlson
20343,Caroline Carpenter
27526,Caroline Criado Pérez
24303,Caroline Dale Snedeker
17772,Caroline Goode
11774,Caroline Graham
9002,Caroline Hanson
28308,Caroline Hirons
16469,Caroline Holden
19033,Caroline Kennedy
23305,Caroline Kepnes
20091,Caroline Knapp
8219,Caroline Lawrence
27993,Caroline Leavitt
4358,Caroline Lee
27501,Caroline McLaughlin
25110,Caroline Moorehead
22759,Caroline Mustill
27878,Caroline Peckham
16161,Caroline Pitcher
24919,Caroline Rose
9682,Caroline Smailes
24264,Caroline Spector
2257,Caroline Stevermer
25846,Caroline W. Casey
17310,Caroline de Maigret
9464,Carolle Jean-Murat
16297,Carolly Erickson
17773,Carolyn  Gray
27719,Carolyn Brown
24361,Carolyn Coman
24750,Carolyn Crane
11003,Carolyn Dewald
27435,Carolyn Durand
22737,Carolyn Forché
11810,Carolyn G. Heilbrun
5791,Carolyn Haines
20032,Carolyn Hale Bruce
6545,Carolyn Haynes
10366,Carolyn Hennesy
6976,Carolyn Jess-Cooke
1745,Carolyn Keene
23141,Carolyn Lee Adams
23234,Carolyn MacCullough
4412,Carolyn Mackler
27022,Carolyn Mahaney
14907,Carolyn Maull McKinstry
17164,Carolyn McCray
11652,Carolyn Merchant
14812,Carolyn Meyer
13766,Carolyn Nash
7761,Carolyn Parkhurst
17590,Carolyn Raffensperger
24749,Carolyn See
2306,Carolyn Sherwin Bailey
24777,Carolyne Aarsen
6173,Carrie Ann Ryan
18085,Carrie Elks
10788,Carrie Fisher
28668,Carrie Gray
26415,Carrie Hope Fletcher
4396,Carrie Jones
13181,Carrie Pulkinen
4171,Carrie Ryan
14630,Carrie Thigpen
2133,Carrie Thomas
24390,Carrie Turansky
46,Carrie Vaughn
4142,Carry Slee
7346,Carry van Bruggen
10561,Carson Ellis
1699,Carson McCullers
16682,Carter Dickson
6615,Carter G. Woodson
11776,Carter Quinn
27322,Carter Sickels
2958,Cary Allen Stone
25114,Cary Attwell
1683,Cary Bates
16969,Cary Elwes
23382,Cary F. Baynes
21,Cary Nord
8921,Caryl Churchill
7397,Caryl Phillips
20553,Caryl Rivers
19177,Caryn Moya Block
23775,Caseen Gaines
15385,Casey Caracciolo
22463,Casey Costra
18185,Casey Finch
21708,Casey Harvell
27451,Casey McQuiston
28437,Casey Sherman
9496,Casey Watson
15626,Casi McLean
27457,Casper ter Kuile
23614,Cassandra    King
10596,Cassandra Campbell
12598,Cassandra Carr
738,Cassandra Clare
6805,Cassandra Fear
12079,Cassandra Jean
22602,Cassandra Morris
20481,Cassandra O'Donnell
17003,Cassandra Pelham
22133,Cassandra Rose Clarke
2634,Cassandra Vieten
1886,Cassia Leo
42,Cassidy Cayman
4347,Cassie Alexander
27577,Cassie Chambers
13325,Cassie Dandridge Selleck
2881,Cassie Edwards
20956,Cassie Mae
1196,Cassie Stocks
6820,Cassietta Jefferson
3976,Cat Adams
16270,Cat Clarke
15404,Cat Ellington
25462,Cat Johnson
1891,Cat Patrick
10328,Cat Weatherill
3751,Cat Winters
11033,Catalina Aguilar Mastretta
22557,Catarina Lima
27196,Cate Corvin
14845,Cate Culpepper
7148,Cate Dean
19229,Cate Farren
26503,Cate Gardner
16398,Cate Kennedy
1736,Cate Tiernan
10083,Catel
6730,Catharina Ingelman-Sundberg
20134,Catharina Tham
11912,Catharine A. MacKinnon
5880,Catherine   West
6285,Catherine  Banks
4287,Catherine  Cooper
28591,Catherine  Hernandez
21575,Catherine  Johnson
4741,Catherine  Palmer
26855,Catherine A. Fitzpatrick
10292,Catherine A. Liszt
28807,Catherine Adel West
180,Catherine Anderson
14552,Catherine Anthony Clark
4275,Catherine Asaro
26103,Catherine Bliss
25856,Catherine Boyle
21219,Catherine Burgass
6830,Catherine Burns
1517,Catherine Bybee
22874,Catherine Cheek
5014,Catherine Chester
28014,Catherine Cho
11481,Catherine Claire Larson
15748,Catherine Clark
25359,Catherine Clément
5486,Catherine Cookson
18662,Catherine Coulter
22492,Catherine D'Avis
2776,Catherine Delors
21340,Catherine Dunne
1050,Catherine Fisher
21058,Catherine Fradier
6325,Catherine Gilbert Murdock
27492,Catherine Gildiner
22978,Catherine Haines
19636,Catherine Hart
22764,Catherine Helen Spence
28703,Catherine Hokin
12961,Catherine Jinks
28073,Catherine Lacey
23061,Catherine Lanigan
25995,Catherine Lundoff
19248,Catherine Mann
1614,Catherine Marshall
21621,Catherine McKenzie
16806,Catherine Merridale
7245,Catherine Millet
9164,Catherine Mintz
19541,Catherine Newman
17042,Catherine Nomura
22911,Catherine Price
2684,Catherine R. Daly
25634,Catherine Rose Putsche
27422,Catherine Ryan Howard
8283,Catherine Ryan Hyde
10183,Catherine S. Leach
15127,Catherine Spencer
28192,Catherine Steadman
26018,Catherine Storr
26572,Catherine Torres
24033,Catherine Webb
15665,Catherine of Siena
11775,Catherynne M. Valente
21218,Cathi Hanauer
21873,Cathie Linz
24526,CathieJo Irwin
22397,Cathleen Schine
19390,Cathryn Fox
8451,Cathy Cash Spellman
3207,Cathy Cassidy
18499,Cathy Coote
27968,Cathy Dobson
20826,Cathy East Dubowski
3075,Cathy Glass
19215,Cathy Goldsmith
6035,Cathy Hopkins
19823,Cathy Lamb
20797,Cathy MacPhail
17257,Cathy Malkasian
24751,Cathy Marie Buchanan
11523,Cathy Marie Hake
27784,Cathy Park Hong
18906,Cathy W. Barks
8003,Catrin Collier
2569,Catriona Feeney
16300,Catriona Rueda Esquibel
4893,Catty Flores
6796,Catullus
18200,Cayla Kluver
28243,Caz Frear
8816,Caza
28624,Cazzie David
18961,Cecco Mariniello
17171,Cece Bell
27827,Cece Whittaker
3473,Cecelia Ahern
26139,Cecelia Holland
7885,Ceci Giltenan
22485,Cecil
15945,Cecil Baines
4413,Cecil Castellucci
6972,Cecil Day-Lewis
16420,Cecil E. Rudd
23772,Cecil Hook
6130,Cecil Murphey
11665,Cecilia Absatz
13253,Cecilia Aubrey
23643,Cecilia Bernard
8623,Cecilia Dart-Thornton
6711,Cecilia Galante
14982,Cecilia Manguerra Brainard
18017,Cecilia Randall
1541,Cecilia Samartin
24379,Cecilia Segawa Seigle
24235,Cecilia Tan
2303,Cecily Anne Paterson
22974,Cecily White
979,Cecily von Ziegesar
3994,Cecy Robson
16771,Cecília Rosas
20990,Cedar Paul
17468,Cedric Belfrage
11461,Cedric Watts
3320,Cee Smith
23550,Cees Nooteboom
4336,Celeste De Blasis
10322,Celeste Goodwin
28549,Celeste Headlee
20772,Celeste Lawson
7111,Celeste Ng
17528,Celia Aaron
13690,Celia Bryce
18362,Celia Haddon
21133,Celia Hawkesworth
8178,Celia Jerome
5152,Celia Kyle
13209,Celia Loren
12369,Celia May Hart
13557,Celia Rees
1501,Celia Thomson
15680,Celina Cavalcante Falck-Cook
8858,Celina Wieniewska
18842,Celine Kiernan
934,Celso Favaretto
20528,Celâl Üster
9646,Cem Akaş
18344,Cemal Süreya
4663,Cemil Meriç
20715,Cerasela Barbone
10579,Cerece Rennie Murphy
21624,Ceri Clark
18495,Cerina Gillilan
23607,Cesar Millan
20784,Cesare Cases
20880,Cesare Foligno
25062,Cesare Garboli
22789,Cesare Lombroso
10006,Cesare Pavese
10891,Cesare Vasoli
10486,Cesário Verde
22694,Chad Harbach
12535,Chad Hardin
18858,Chad Hensley
16144,Chad Oliver
14990,Chaim Potok
22143,Chamalee Weeratunge
16159,Champa Bilwakesh
27997,Chana Porter
26183,Chance Bone
436,Chanda Hahn
8382,Chandler Alexander
25669,Chandra Prasad
25595,Chandra Wickramasinghe
27418,Chanel Cleeton
27449,Chanel Miller
3995,Changdictator
4722,Chantal Fernando
20608,Chantal Montellier
4295,Chantal van Gastel
6498,Chantel Acevedo
23587,Chantel Seabrook
25082,Chantele Sedgwick
28013,Charis Michaels
3167,Charise Mericle Harper
13674,Charisse Jones
14549,Charity Tahmaseb
1414,Charlaine Harris
4861,Charlamagne Tha God
25009,Charleigh Rose
4067,Charlene Cross
11227,Charlene Lunnon
1832,Charlene Sands
28007,Charlene Willing McManis
6798,Charles    Martin
14519,Charles   Davis
5256,Charles   Johnson
22811,Charles  James
12904,Charles  Rosenberg
4946,Charles  Williams
21386,Charles A. Peek
25187,Charles Addams
19065,Charles Archer
4868,Charles Baudelaire
7980,Charles Bernard Nordhoff
24992,Charles Bock
17992,Charles Bowden
20296,Charles Brockden Brown
4570,Charles Brokaw
3180,Charles Bukowski
26104,Charles Burns
854,Charles C. Mann
515,Charles C. Ryrie
8896,Charles Castaldi
976,Charles Chiyangwa
6745,Charles Conrad
16523,Charles Cumming
4630,Charles D. Bennett
2409,Charles Darwin
26533,Charles De Wolf
2819,Charles Dickens
15445,Charles Dingle
5043,Charles Duhigg
14128,Charles E. Argoff
22062,Charles E. Rodz
18730,Charles Eisenstein
14257,Charles Engan
26406,Charles F. Haanel
19426,Charles F. Obstbaum
26030,Charles F. Stanley
24443,Charles Fay
25522,Charles Fleming
10723,Charles G. Waugh
16899,Charles Geer
25606,Charles Gibson
5811,Charles Green
2347,Charles H. Briscoe
11851,Charles Haddon Spurgeon
20181,Charles Henderson
25700,Charles Keeping
1087,Charles Kittel
28751,Charles Krauthammer
10593,Charles L. Harness
10386,Charles Laughton
13907,Charles Lewinsky
15650,Charles Lightoller
26955,Charles Lilly
8470,Charles Ludwig
14429,Charles M. Coffin
1872,Charles M. Schulz
85,Charles Martin
16641,Charles McCarry
1213,Charles Mikolaycak
26408,Charles Miller
26960,Charles Murray
5395,Charles Neider
9674,Charles Olson
21823,Charles Omo
8420,Charles Osborne
21628,Charles Palliser
14364,Charles Patterson
20810,Charles Paul Wilson III
18301,Charles Pellegrino
22372,Charles Penwarden
8497,Charles Perrault
11658,Charles Peters
3776,Charles Petzold
1092,Charles Pignone
14984,Charles Portis
5550,Charles R. Cross
593,Charles R. Johnson
17353,Charles R. Kessler
4830,Charles R. Swindoll
4375,Charles Ramírez Berg
20031,Charles Randolph Bruce
26924,Charles Reade
14078,Charles Robert Maturin
16644,Charles Royster
9670,Charles S. Houston
26348,Charles Sailor
23969,Charles Selden
18679,Charles Sheehan-Miles
7382,Charles Shiro Inouye
22429,Charles Simic
15317,Charles Snape
10941,Charles Stephens
3208,Charles Stross
26918,Charles T. Munger
17599,Charles Talbut Onions
9851,Charles Todd
18915,Charles Tomlinson
10724,Charles V. de Vet
16335,Charles Van Doren
5163,Charles Vess
1611,Charles W. Bailey II
20000,Charles W. Calomiris
2725,Charles W. Colson
23288,Charles W. Leadbeater
18833,Charles W. Sasser
11163,Charles Webb
18241,Charles William Eliot
21382,Charles William Morris
26,Charles Wilson
24947,Charles Wright
16433,Charles Yale Harrison
28544,Charles Yu
23541,Charles de Coster
3195,Charles de Lint
19125,Charles-Ferdinand Ramuz
5859,Charlie Adlard
474,Charlie Brooker
26508,Charlie Carillo
24760,Charlie Croker
24650,Charlie Donlea
25525,Charlie Fletcher
483,Charlie Higson
14363,Charlie Huston
28112,Charlie Jane Anders
2800,Charlie Kaufman
2952,Charlie Louth
26394,Charlie Louvin
15851,Charlie N. Holmberg
22901,Charlie Purple
23321,Charlie Stella
25755,Charlie W. Shedd
11054,Charlie Wedemeyer
28172,Charline McGregor
19355,Charlotte A. Alexander
19384,Charlotte Barslund
1412,Charlotte Bingham
2057,Charlotte Blackwell
11425,Charlotte Brentwood
3820,Charlotte Brontë
7077,Charlotte Charke
23745,Charlotte Connan de vries
15675,Charlotte Dacre
22821,Charlotte Featherstone
25212,Charlotte Gray
13079,Charlotte Hughes
24159,Charlotte Kerner
16067,Charlotte Kleinert
23521,Charlotte Kossuth
23929,Charlotte Lennox
15927,Charlotte Link
11976,Charlotte Lloyd
13936,Charlotte Louise Dolan
24452,Charlotte Lungstrass
12908,Charlotte MacLeod
18993,Charlotte Mandell
1797,Charlotte McConaghy
7093,Charlotte Mew
27849,Charlotte Nicole Davis
8437,Charlotte Perkins Gilman
18712,Charlotte Ridel
11789,Charlotte Rogan
12993,Charlotte Stein
26712,Charlotte Vale Allen
8402,Charlotte Wood
5429,Charlotte Zolotow
13362,Charlotte de Monchy
21320,Charmaine Galloway
25725,Charmaine Gordon
10658,Charon
16781,Chartel Amos
21890,Charu Nivedita
24864,Chas Newkey-Burden
20764,Chas Saunders
24157,Chase Blackwood
18294,Chase Conley
20011,Chase Novak
20630,Chase Potter
12527,Chase Twichell
12326,Chase Von
27532,Chasten Glezman Buttigieg
4037,Chavisa Woods
10949,Chaz Barracks
5647,Chaz Fenwick
12401,Chaz McGee
6327,Chef's Secret Vault
24090,Cheikh Hamidou Kane
7743,Chelle Bliss
25727,Chelle Cordero
27649,Chelsea Bieker
24131,Chelsea Cain
10414,Chelsea Fine
27619,Chelsea Handler
7030,Chelsea Luna
13222,Chelsea M. Cameron
13372,Chelsea M. Campbell
21409,Chelsea McLaren
27586,Chelsea Pitcher
3400,Chelsea Quinn Yarbro
24335,Chelsie Hill
20355,Chely Wright
18572,Chen Guangcheng
4240,Cheree Alsop
19371,Cheri Crystal
7898,Cheri Schmidt
7137,Cherie Bennett
21281,Cherie Currie
22513,Cherie K. Miller
2489,Cherie Priest
13337,Cheris Hodges
607,Cherise Sinclair
13964,Cherly Lanham
14376,"Cherney, Scott"
1729,Cheron K. Griffin
18055,Cherrie Lynn
8048,Cherry Adair
11605,Cherry Cheva
24546,Cherry Muhanji
5758,Cherry_Cola_X
1805,Cherríe L. Moraga
13299,Cheryl Ammeter
9703,Cheryl Barnhart
5899,Cheryl Bradshaw
13578,Cheryl Casey Ramirez
6438,Cheryl Clarke
16020,Cheryl Cole
3323,Cheryl Klam
12237,Cheryl L. White
21358,Cheryl Lanham
18351,Cheryl McIntyre
4016,Cheryl McKay
16805,Cheryl Rainfield
19470,Cheryl Strayed
6811,Chesley McLaren
16366,Chester Brown
1847,Chester Himes
19110,Chester McDaniel
21958,Chet Baker
1397,Chet Raymo
3398,Chet Williamson
4088,Chetan Bhagat
2787,Chetan Surya
7979,Chevy Stevens
8699,Cheyenne McCray
7203,Chi-Young Kim
8730,Chiah Wilder
21368,Chiara Arnone
7063,Chiara Brovelli
11121,Chiara Gamberale
24224,Chiara Spallino Rocca
19402,Chica Umino
10226,Chico Kidd
20240,Chidiock Tichborne
15566,Chie Shinohara
27655,Chigozie Obioma
19853,Chihiro Iwasaki
8189,Chimamanda Ngozi Adichie
2361,China Martens
2632,China Miéville
16834,Chinedu Nwabuobi
23494,Ching-In Chen
2674,Chingiz Aitmatov
24215,Chinmay Hota
6063,Chinua Achebe
5278,Chip Brown
28293,Chip Cheek
7826,Chip Deffaa
3903,Chip Gaines
19257,Chip Heath
27856,Chip Jones
4027,Chip Kidd
15926,Chip Matthews
20248,Chip Zdarsky
6452,Chirlane McCray
12565,Chitra Banerjee Divakaruni
22407,Chitrita Banerji
28683,Chloe Gong
10707,Chloe Hooper
16365,Chloe Jacobs
28490,Chloe Liese
7619,Chloe Neill
6920,Chloe R.
12460,Chloe Rutter Jensen
26555,Chloë Dalby
23733,Chloë Rayban
28518,Cho Nam-Joo
25254,Choi Hong Chong
23345,Chris      Williams
13427,Chris     White
11117,Chris    Andrews
14680,Chris   Howard
18191,Chris  Cannon
26886,Chris  Carter
16494,Chris  White
12767,Chris (Simpsons Artist)
1916,Chris A. Jackson
10803,Chris Abani
11205,Chris Adrian
13252,Chris Almeida
17203,Chris Andrews
13785,Chris Anne Wolfe
6253,Chris Bachalo
28702,Chris Baron
1582,Chris Berdik
4557,Chris Bohjalian
5102,Chris Bradford
23873,Chris Brockow
8714,Chris Brunner
7518,Chris Bunch
16620,Chris C. Mooney
14994,Chris Campbell
18850,Chris Campion
15896,Chris Carter
28312,Chris Christie
13343,Chris Claremont
7584,Chris Cleave
11796,Chris Colfer
12678,Chris Columbus
12786,Chris Comish
14676,Chris Connor
16017,Chris Cornutt
3350,Chris Crowe
3799,Chris Crutcher
20661,Chris Dickey
26351,Chris Douggs McDougall
10861,Chris Downie
25492,Chris Duffy
24580,Chris Eliopoulos
12281,Chris Emlyn-Jones
8998,Chris Epting
5940,Chris Eubank
10326,Chris Fabry
4879,Chris Finlay
22692,Chris Fontana
11459,Chris Frith
3777,Chris Fuhrman
18788,Chris Fujiwara
22668,Chris Gardner
25002,Chris Gatcum
667,Chris Grabenstein
24683,Chris Guise
7326,Chris Hedges
8706,Chris Heimerdinger
14069,Chris Hirte
23393,Chris Horton
17026,Chris J. Slaugh
26170,Chris Kraus
2002,Chris Kuzneski
17917,Chris Kyle
4613,Chris Leek
22904,Chris Mackey
5801,Chris Marie Green
17861,Chris Matthew Sciabarra
5192,Chris Metzen
24143,Chris Mooney
3313,Chris Moriarty
16382,Chris Morris
1573,Chris Muffoletto
5042,Chris Mulhern
25583,Chris Murray
4542,Chris Norris
14707,Chris Owen
23882,Chris Pai
14361,Chris Pavone
15391,Chris Pereira
11990,Chris Priestley
2933,Chris Pérez
4623,Chris Reed
14535,Chris Rettstatt
13921,Chris Rey San Pedro
1006,Chris Riddell
11503,Chris Roberson
4609,Chris Robertson
23928,Chris Ryall
18792,Chris Ryan
16265,Chris Rylander
14498,Chris Samnee
25167,Chris Schluep
13683,Chris Sheban
9198,Chris Sprouse
10417,Chris Stewart
24660,Chris Stralyn
4002,Chris Tebbetts
19509,Chris Turnham
1146,Chris Van Allsburg
9266,Chris Voss
28536,Chris Wallace
2808,Chris Ware
17985,Chris Weston
18492,Chris Whipple
5777,Chris White
3785,Chris Wooding
5061,Chris d'Lacey
21909,Chris-Jean Clarke
12890,Chrissie Zullo
25611,Chrissy Lessey
16183,Chrissy Peebles
1170,Christ Garratt
22175,Christa Faust
25760,Christa Jansohn
5829,Christa MacDonald
23355,Christa Pierce
5889,Christa Wolf
5414,Christabel Attard
6239,Christel Hildebrandt
21092,Christelle Dabos
13288,Christelle Morelli
25391,Christen Davis
3813,Christi Allen Curtis
3094,Christi Phillips
16293,Christiaan Weijts
27998,Christian  White
22256,Christian Alamy
368,Christian Baloga
10372,Christian Biet
461,Christian Birmingham
19121,Christian Grenier
22535,Christian Gálvez
16485,Christian Ingrao
1354,Christian Jacq
16373,Christian Jungersen
16301,Christian Lehmann
9262,Christian M.I.M. Matthiessen
22579,Christian Norberg-Schulz
20958,Christian Overman
24036,Christian Rätsch
14027,Christian Simamora
13149,Christian TeBordo
24137,Christian Urban
11406,Christian Warren Freed
3790,Christian Wiman
15558,Christian Wußmann
19537,Christian Zanier
27670,Christiana Figueres
9724,Christiane F.
6550,Christiane Northrup
6082,Christiane Pöhlmann
11301,Christie  Anderson
3643,Christie  Maurer
9045,Christie Craig
152,Christie Golden
10971,Christie Hodgen
28782,Christie Tate
16958,Christie Watson
28252,Christina   Clancy
19267,Christina  Bates
27344,Christina  McDonald
5585,"Christina ""DC Brownlow"" Reyes"
14005,Christina Baker Kline
1646,Christina Baldwin
13035,Christina Baum
12640,Christina Corlett
14810,Christina Courtenay
2877,Christina Dodd
19006,Christina E. Reyes
15617,Christina Ellis
23469,Christina Engela
5567,Christina Haag
6791,Christina Henry
20129,Christina Herrström
26830,Christina Hoff Sommers
19289,Christina Hole
25183,Christina J. Adams
1442,Christina Katz
22541,Christina Kirby
14235,Christina Lamb
594,Christina Lauren
21850,Christina Lynch
11639,Christina Mandelski
27334,Christina McKnight
25330,Christina Meldrum
16025,Christina Moss
6722,Christina OW
10202,Christina Pribićević-Zorić
16900,Christina Ross
486,Christina Rossetti
27764,Christina S. Wilcox
10767,Christina Schwarz
8259,Christina Scull
22827,Christina Shelly
16430,Christina Skye
19587,Christina Stead
19958,Christina Sunley
12958,Christina Tetreault
23801,Christina Weir
15149,Christina Westcott
4505,Christina Worrell
21867,Christinag1227
4083,Christine   Johnson
5000,Christine  Rose
8835,Christine Angot
6807,Christine Ann Kent
23397,Christine Arnothy
23566,Christine Aziz
1061,Christine Brodien-Jones
5866,Christine Catlin
3272,Christine Church
1957,Christine Clayfield
2279,Christine Donougher
15559,Christine Dzidrums
154,Christine Feehan
11910,Christine Fletcher
18097,Christine Féret-Fleury
19738,Christine Gauthey
7733,Christine Hyung-Oak Lee
20322,Christine Johnson
19459,Christine Kersey
3614,Christine Kwon
24332,Christine Larsen
27987,Christine Lynn Herman
3293,Christine M. Korsgaard
15941,Christine Marcandier-Colard
2276,Christine McCullough
13076,Christine McKinley
26832,Christine Mitchell
18506,Christine Morgan
5122,Christine Morton-Shaw
27056,Christine Nolfi
21080,Christine Nöstlinger
20949,Christine O'Neil
7154,Christine Pope
2576,Christine Riccio
25087,Christine Seifert
3474,Christine Strüh
25888,Christine Trent
8606,Christine Warren
1955,Christine Wenrick
7513,Christine Zika
2762,Christine Zolendz
5113,Christof Koch
21505,Christoffer Carlsson
9547,Christoph Göhler
15510,Christoph Marzi
18177,Christoph Ransmayr
21630,Christoph von Schmid
4057,Christophe André
6297,Christopher  Morley
23370,Christopher  Rice
1688,Christopher  Smith
26464,Christopher Andersen
21243,Christopher Ash
25990,Christopher Barzak
22900,Christopher Bigsby
5003,Christopher Bowron
5611,Christopher Brookmyre
9384,Christopher Buckley
21345,Christopher Buecheler
12181,Christopher Cannon
21097,Christopher Castellani
26815,Christopher Catherwood
20896,Christopher Chabris
26625,Christopher Chant
17545,Christopher Chuckry
4626,Christopher Conlon
26460,Christopher English
16105,Christopher F. Edwards Jr.
22318,Christopher Farnsworth
10238,Christopher Felton
25476,Christopher Finch
12364,Christopher Fowler
610,Christopher G Falconer
11358,Christopher G. Nuttall
1304,Christopher Golden
16970,Christopher Guest
10968,Christopher Hastings
25770,Christopher Healy
22686,Christopher Henry Dawson
16036,Christopher Hill
5345,Christopher Hitchens
12031,Christopher Isherwood
15132,Christopher J. Koch
15270,Christopher J. Nolan
17560,Christopher J. Priest
11011,Christopher J. Wilson
13613,Christopher Keene
9451,Christopher King
20520,Christopher L. Bennett
23124,Christopher L. Hayes
18372,Christopher Lasch
27242,Christopher Leonard
5137,Christopher MacGowan
21405,Christopher Martucci
11783,Christopher McDougall
4942,Christopher McEnroe
5890,Christopher Middleton
18945,Christopher Miller
25235,Christopher Milne
12115,Christopher Moore
18734,Christopher Morris
25772,Christopher Moseley
13483,Christopher Panza
3786,Christopher Paolini
6881,Christopher Patchel
544,Christopher Paul Curtis
16054,Christopher Perrett
9052,Christopher Pierce
5496,Christopher Pike
13956,Christopher Prendergast
14233,Christopher Priest
16939,Christopher R. Browning
10089,Christopher Rankin
1655,Christopher Ricks
15642,Christopher S. Kovacs
13696,Christopher Santoro
17673,Christopher Scotton
8421,Christopher Seufert
2291,Christopher St. John Sampayo
6514,Christopher Steiner
27140,Christopher Swann
23644,Christopher Sykes
716,Christopher Tolkien
26494,Christopher W. Alexander
16780,Christopher William Hill
11630,Christopher Yost
9359,Christopher diCarlo
6093,Christos Gage
17584,Christos H. Papadimitriou
26986,Christos Tsiolkas
15082,Christy Ann Conlin
27047,Christy Hayes
27807,Christy Lefteri
8783,Christy Sloat
15174,Christy Wilson Beam
25687,Chrysoula Tzavelas
14833,Chuck  Cox
9296,Chuck  Grossart
26238,Chuck Barris
5473,Chuck Black
8155,Chuck Dixon
8695,Chuck Hogan
19005,Chuck Klosterman
21288,Chuck Norris
305,Chuck Palahniuk
23740,Chuck Rogers
13071,Chuck U. Farlie
25137,Chuck Yeager
4209,Chufo Lloréns
11685,Chunichi Knott
15040,Church Publishing
8866,Church of England
2818,Chyna Blue
6215,Chögyam Trungpa
21933,Cia Sigesgård
13777,Ciana Stone
27986,Ciara Smyth
2735,Cid Corman
1563,Cidney Swanson
8471,Cielo Latini
24651,Cihan Karamancı
17617,Ciji Ware
16337,Cilla Börjlind
3724,Cinda Williams Chima
9420,Cindi Madsen
12579,Cindie Cohagan Travis
9157,Cindie Geddes
23741,Cindy Bauer
27059,Cindy Bouchard
17645,Cindy C. Bennett
7526,Cindy Gerard
21710,Cindy Gretchen Ovenrack Crabb
11591,Cindy Lambert
21003,Cindy M. Hogan
25823,Cindy Martinusen Coloma
2559,Cindy Pon
12542,Cindy Pricilla
24979,Cindy Ratzlaff
25283,Cintio Vitier
24339,Cinzia Del Vecchio
8596,Cipriano De Valera
13134,Ciril Hitz
25860,Clair Davies
11292,Clair Huffaker
25128,Claire  Cameron
27357,Claire  Gibson
15970,Claire Adams
28654,Claire Amarti
28477,Claire Askew
26216,Claire Belton
25955,Claire Bessant
12107,Claire Chilton
18500,Claire Contreras
19850,Claire Cook
14323,Claire Cross
17756,Claire Danes
26546,Claire Dawn
28095,Claire Douglas
27207,Claire Eliza Bartlett
11884,Claire Farrell
15413,Claire Fontaine
10410,Claire Fordham
7950,Claire Fuller
28049,Claire Kann
21407,Claire Kendal
20839,Claire Kent
27236,Claire Kingsley
3239,Claire Kinton
14348,Claire Legrand
28376,Claire McGowan
8345,Claire Messud
14986,Claire Morgan
12515,Claire North
8038,Claire Nouvian
27650,Claire Saffitz
10315,Claire Thompson
24846,Claire Zorn
21508,Clara Castro
12770,Clara Morena
5925,Clara Ng
7066,Clara Serretta
3902,Clara Sánchez
16066,Clara Winston
2608,Clare Allan
20046,Clare B. Dunkle
5128,Clare Balding
28221,Clare Beams
16818,Clare Bell
14288,Clare Cavanagh
28102,Clare Chambers
27911,Clare Corbett
11883,Clare Furniss
6120,Clare London
21083,Clare Mackintosh
19445,Clare McDowell
1444,Clare Naylor
27175,Clare Pooley
17488,Clare Vanderpool
4053,Clare Wright
12785,Clarence H. Miller
28173,Claribel A. Ortega
2373,Clarice Lispector
8456,Clarissa Dickson Wright
7891,Clarissa Pinkola Estés
6748,Clarissa Wild
13400,Clark Ashton Smith
7113,Clark Strand
8763,Clarrissa Lee Moon
8198,Claude De La Colombière
26987,Claude Durand
21419,Claude Houghton
11317,Claude Lévi-Strauss
18494,Claude V. King
18936,Claudia Baglini
3811,Claudia Campos
6062,Claudia Canova
6159,Claudia Carroll
13670,Claudia Craig Marek
20257,Claudia Ferraris
4397,Claudia Gabel
4169,Claudia Gray
9723,Claudia Kalscheuer
24558,Claudia L. Johnson
12893,Claudia Lefeve
7646,Claudia Mair Burney
10343,Claudia Novack-Jones
16819,Claudia Rankine
19511,Claudia Wenner
16292,Claudia de Breij
24588,Claudie Arseneault
8332,Claudio De Nardi
15548,Claudio Sánchez
23675,Claudy Conn
20107,Claus Kleber
10910,Clay Cane
26717,Clay Clarkson
20058,Clay Hayes
16410,Clayborne Carson
22946,Clayton Cowles
17014,Clayton Hickman
14237,Clayton M. Christensen
18124,Clea Saal
4909,Clem Robins
7090,Clemence Dane
22595,Clement C. Moore
11706,Clement Hawes
6884,Clementina Coppini
16923,Clementine Luijten
25947,Cleo Coyle
20108,Cleo Paskal
6686,Cliff Chiang
24849,Cliff Graham
27148,Cliff Lerner
11839,Cliff McNish
2741,Cliff Nielsen
5860,Cliff Rathburn
7387,Cliff Richards
6041,Clifford Chase
9632,Clifford D. Simak
22760,Clifford Harper
10243,Clifford Odets
15235,Clifford Riley
26890,Clifford Stoll
3391,Clifford V. Brooks
21387,CliffsNotes
24029,Clifton Elliott
617,Clifton Fadiman
17176,Clifton L. Taulbert
3394,Clint Collins
6904,Clint Willis
17352,Clinton Rossiter
10337,Clio Freya
21846,Clive  Bell
8937,Clive Barker
6066,Clive Cussler
26626,Clive Wilkinson
11954,Clyde Edgerton
20699,Clysta Kinstler
20180,Clément Marot
28680,Clémentine Beauvais
7641,Coby Blaze
3049,Coco Simon
25348,Cody Goodfellow
15703,Cody McFadyen
